ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/belisarians_chill_king	
wh_main_spell_brt_chill_king_excalibur	chill_king_blocks_path
wh_main_spell_brt_chill_king_excalibur	wh2_dlc14_spell_no_damage
wh_main_spell_brt_chill_king_excalibur_upgraded	wh2_main_all_allows_siege_assaults
wh_main_spell_brt_chill_king_excalibur_upgraded	wh2_main_all_building_equipment_target
wh_main_spell_brt_chill_king_excalibur_upgraded	wh_main_projectile_powerful_explosion
wh_main_spell_brt_chill_king_castle	wh2_dlc12_spell_friendly_fire_aoe
wh_main_spell_brt_chill_king_castle	wh2_dlc14_spell_no_damage
wh_main_spell_brt_chill_king_castle	chill_king_blocks_path
wh_main_spell_brt_chill_king_excalibur_slash	wh_main_all_weak_against_single
wh_main_spell_brt_chill_king_excalibur_slash	wh2_main_all_magical_damage_major
wh_main_spell_brt_chill_king_excalibur_slash	wh2_main_all_good_against_armour
