bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/belisarians_chill_king_units_snowmen	
shielded	wh_main_brt_inf_cute_snowmen_shield
expendable	wh_main_brt_inf_cute_snowmen_shield
ice_elemental	wh_main_brt_inf_cute_snowmen_shield
anti_large	wh_main_brt_inf_cute_snowmen_halb
charge_reflector_vs_large	wh_main_brt_inf_cute_snowmen_halb
expendable	wh_main_brt_inf_cute_snowmen_halb
ice_elemental	wh_main_brt_inf_cute_snowmen_halb
armour_piercing	wh_main_brt_inf_cute_snowmen_axe
expendable	wh_main_brt_inf_cute_snowmen_axe
ice_elemental	wh_main_brt_inf_cute_snowmen_axe
