invalid_usage_flag	special_ability
#special_ability_to_invalid_usage_flags_tables;0;db/special_ability_to_invalid_usage_flags_tables/belisarians_chill_king_lore_of_ice	
phase_is_deployment	wh_main_spell_lore_of_ice_ice_wall
climbing	wh_main_spell_lore_of_ice_ice_wall
phase_is_deployment	wh_main_spell_lore_of_ice_ice_blades
climbing	wh_main_spell_lore_of_ice_ice_blades
phase_is_deployment	wh_main_spell_lore_of_ice_ice_blades_overcharged
climbing	wh_main_spell_lore_of_ice_ice_blades_overcharged
phase_is_deployment	wh_main_spell_lore_of_ice_crystal_field
climbing	wh_main_spell_lore_of_ice_crystal_field
phase_is_deployment	wh_main_spell_lore_of_ice_snowman
climbing	wh_main_spell_lore_of_ice_snowman
phase_is_deployment	wh_main_spell_lore_of_ice_snowstorm
climbing	wh_main_spell_lore_of_ice_snowstorm
phase_is_deployment	wh_main_spell_lore_of_ice_shield_of_ice
climbing	wh_main_spell_lore_of_ice_shield_of_ice
phase_is_deployment	wh_main_spell_lore_of_ice_icy_fresh
climbing	wh_main_spell_lore_of_ice_icy_fresh
